SubsID,error.immigrants.trim,error.asylum.seekers.trim,error.trim,error.immigrants,error.asylum.seekers,error,consp_01,confidence,trust.stat,news.paper,news.social,news.tv,concern.imm,edu.tertiary,lr,age,female,abit,income,dummy.imm.as,country,QG8c_1_T4,QG8d_1_T4,QG16_1_T4,QG16_2_T4,QG16_3_T4,QG16_4_T4,country_cod,int_wt1_cap_T4
EPOKBMPFPLD8JFW4B4,12.3383344815723,NA,12.3383344815723,12.3383344815723,NA,12.3383344815723,0.620749384301774,1,1,0.25,0.375,0.125,1,0,0.4,39,1,2. Other town/urban centre,0.090909090909091,1,Czechia,15,NA,2,2,2,2,1,1.023860601
EPOK4344FH2Y3ZY4B7,NA,9.99265670334493,9.99265670334493,NA,9.99265670334493,9.99265670334493,0.848579754655534,0,0,0.75,0.875,1,1,0,0.5,66,1,1. Metropolitan zone,0.090909090909091,0,Czechia,NA,10,1,2,1,1,1,0.47204665
EPOKCCD8LKPKKNB4B9,0.338334481572258,NA,0.338334481572258,0.338334481572258,NA,0.338334481572258,0.693884289139655,1,1,1,1,1,1,0,0,59,1,2. Other town/urban centre,0.545454545454545,1,Czechia,3,NA,1,4,1,1,1,1.053648773
EPOK4YX6B8YTM4V4B4,2.33833448157226,NA,2.33833448157226,2.33833448157226,NA,2.33833448157226,0.495838053188651,1,0,0,1,0.75,0,1,0.5,31,0,2. Other town/urban centre,0.181818181818182,1,Czechia,5,NA,2,2,3,2,1,1.542405273
EPOK4YBYRVBKXDD4B7,NA,0.992656703344933,0.992656703344933,NA,0.992656703344933,0.992656703344933,0.668312982656958,1,1,0,0.75,0.75,0,0,0.3,42,0,1. Metropolitan zone,0.272727272727273,0,Czechia,NA,1,2,3,1,2,1,1.228273461
EPOK4YKXJ694RSJ4B2,-0.661665518427742,NA,-0.661665518427742,-0.661665518427742,NA,-0.661665518427742,0.698097117059714,1,1,0.125,0,0.125,1,0,0.5,38,1,2. Other town/urban centre,0.272727272727273,1,Czechia,2,NA,2,1,2,2,1,1.128044979
EPOK4Y3RDYLLHC24B0,NA,0.992656703344933,0.992656703344933,NA,0.992656703344933,0.992656703344933,0.786122383659968,1,0,0.375,0.25,1,1,0,0.5,66,0,3. Rural zone,0.363636363636364,0,Czechia,NA,1,2,2,1,1,1,0.439247681
EPOKD797VJRVQYB4B2,0.338334481572258,NA,0.338334481572258,0.338334481572258,NA,0.338334481572258,0.72366842354241,1,1,0.5,0.125,1,1,0,0.3,60,0,2. Other town/urban centre,0.181818181818182,1,Czechia,3,NA,1,2,2,1,1,0.813156477
EPOKBRXQWVTDFP74B4,-1.66166551842774,NA,-1.66166551842774,-1.66166551842774,NA,-1.66166551842774,0.613644043313652,1,0,1,0,1,1,0,0.5,59,0,2. Other town/urban centre,0.272727272727273,1,Czechia,1,NA,4,1,2,1,1,0.908542264
EPOK3P5DSNRQRTV4B5,-1.66166551842774,NA,-1.66166551842774,-1.66166551842774,NA,-1.66166551842774,0.68320675529734,1,1,1,1,1,0,1,0.4,26,0,1. Metropolitan zone,0.454545454545455,1,Czechia,1,NA,1,2,2,2,1,1.27103527
EPOKBMT9WNKR3944B6,2.33833448157226,NA,2.33833448157226,2.33833448157226,NA,2.33833448157226,0.925927487413473,1,0,0.625,0,0.5,1,0,0.5,43,0,3. Rural zone,NA,1,Czechia,5,NA,1,1,1,1,1,1.196420122
EPOK45K7DKHH2FP4B6,NA,0.992656703344933,0.992656703344933,NA,0.992656703344933,0.992656703344933,0.580287716056704,0,1,0.375,1,0.625,1,1,0.5,37,0,1. Metropolitan zone,0.454545454545455,0,Czechia,NA,1,2,2,2,3,1,0.88015445
EPOK528ZDP5RXN24B2,NA,1.99265670334493,1.99265670334493,NA,1.99265670334493,1.99265670334493,0.661211052546844,0,0,1,0,0.125,0,0,0.5,45,1,2. Other town/urban centre,0.181818181818182,0,Czechia,NA,2,2,2,2,1,1,0.338175872
EPOK4BZZ2C2LSLM4B9,2.33833448157226,NA,2.33833448157226,2.33833448157226,NA,2.33833448157226,0.543401651543835,1,1,0,0.625,0.75,0,0,0.4,46,0,2. Other town/urban centre,0.181818181818182,1,Czechia,5,NA,2,3,2,2,1,1.128395728
EPOKB7CMLX6J3MK4B5,NA,1.99265670334493,1.99265670334493,NA,1.99265670334493,1.99265670334493,0.68320675529734,0,0,1,0.5,1,1,1,0.3,65,0,1. Metropolitan zone,0.181818181818182,0,Czechia,NA,2,1,2,2,2,1,0.451341745
EPOK4YZJMPFD6W74B0,NA,0.992656703344933,0.992656703344933,NA,0.992656703344933,0.992656703344933,0.440482612303199,0,1,1,0,1,0,1,0.4,65,1,2. Other town/urban centre,0.090909090909091,0,Czechia,NA,1,3,3,2,3,1,0.512949914
EPOK44WRYTVFDCQ4B0,NA,2.99265670334493,2.99265670334493,NA,2.99265670334493,2.99265670334493,0.433380682193085,0,1,0.75,0,1,0,1,0.3,54,0,2. Other town/urban centre,0.181818181818182,0,Czechia,NA,3,3,2,3,2,1,1.314206612
EPOK4L54JLXBWFK4B7,NA,4.99265670334493,4.99265670334493,NA,4.99265670334493,4.99265670334493,0.72366842354241,0,0,0.625,0.75,1,1,0,0.3,69,1,3. Rural zone,NA,0,Czechia,NA,5,1,2,2,1,1,0.495715378
EPOK833JNDNL8MF4B7,NA,4.99265670334493,4.99265670334493,NA,4.99265670334493,4.99265670334493,0.925927487413473,0,0,0.125,0.75,0.75,1,0,0.3,63,0,2. Other town/urban centre,0.090909090909091,0,Czechia,NA,5,1,1,1,1,1,0.908542264
EPOKFPMMBBSRNVB4B5,2.33833448157226,NA,2.33833448157226,2.33833448157226,NA,2.33833448157226,0.543401651543835,1,1,0.375,0.25,1,1,1,0.5,78,0,1. Metropolitan zone,0.181818181818182,1,Czechia,5,NA,2,3,2,2,1,0.513688423
EPOKBNPP2CDL5MH4B2,2.33833448157226,NA,2.33833448157226,2.33833448157226,NA,2.33833448157226,0.620749384301774,0,1,0.375,0.375,0.5,1,0,0.6,47,0,1. Metropolitan zone,0.090909090909091,1,Czechia,5,NA,2,2,2,2,1,1.196420122
EPOKB9RM2VMMWT34B7,NA,4.99265670334493,4.99265670334493,NA,4.99265670334493,4.99265670334493,0.620749384301774,0,0,0.5,0.375,0.75,1,0,0.3,39,1,3. Rural zone,0.181818181818182,0,Czechia,NA,5,2,2,2,2,1,1.252597024
EPOK452FCK3T6F34B4,NA,1.99265670334493,1.99265670334493,NA,1.99265670334493,1.99265670334493,0.558292013306208,0,1,0.125,0.125,0.375,0,1,0.3,37,0,2. Other town/urban centre,0.272727272727273,0,Czechia,NA,2,3,2,2,2,1,0.88015445
EPOK4ZR92X8DCGM4B7,NA,0.992656703344933,0.992656703344933,NA,0.992656703344933,0.992656703344933,0.925927487413473,0,0,0.25,0,0.375,1,0,0.3,70,1,2. Other town/urban centre,0.181818181818182,0,Czechia,NA,1,1,1,1,1,1,0.466497232
EPOKFPG7YVTTYRL4B0,17.3383344815723,NA,17.3383344815723,17.3383344815723,NA,17.3383344815723,0.480944280548269,0,0,0.5,0.5,1,1,0,0.5,71,1,1. Metropolitan zone,0.090909090909091,1,Czechia,20,NA,3,3,2,2,1,0.47204665
EPOK56WLCKMDXX54B2,NA,-0.007343296655067,-0.007343296655067,NA,-0.007343296655067,-0.007343296655067,0.925927487413473,1,0,1,0,1,1,0,0.4,69,1,1. Metropolitan zone,0.090909090909091,0,Czechia,NA,0,1,1,1,1,1,0.47204665
EPOK4YZH3MSS5P64B2,2.33833448157226,NA,2.33833448157226,2.33833448157226,NA,2.33833448157226,0.418490320430711,0,1,0.375,0,1,0,1,0.1,50,0,3. Rural zone,0.454545454545455,1,Czechia,5,NA,2,3,3,2,1,1.319449856
EPOK4GXDXQSR6MS4B2,NA,1.99265670334493,1.99265670334493,NA,1.99265670334493,1.99265670334493,0.539826047811634,0,0,0.25,0,1,1,0,0.3,68,1,2. Other town/urban centre,0.090909090909091,0,Czechia,NA,2,2,2,2,4,1,0.420411971
EPOK57282689TDS4B5,NA,2.99265670334493,2.99265670334493,NA,2.99265670334493,2.99265670334493,0.440482612303199,0,0,0.125,0,0.125,1,0,0.2,56,1,3. Rural zone,0.272727272727273,0,Czechia,NA,3,3,3,2,3,1,1.053648773
